cell_name,model_id,ex_cell_id
A-673,ACH-000052,0
SF-268,ACH-000655,1
SF-295,ACH-000376,2
SF-539,ACH-000273,3
SNB-75,ACH-000504,4
T98G,ACH-000571,5
BT-549,ACH-000288,6
HS 578T,ACH-000148,7
KPL1,ACH-000028,8
MCF7,ACH-000019,9
MDA-MB-231,ACH-000768,10
MDAMB436,ACH-000573,11
MDA-MB-468,ACH-000849,12
T-47D,ACH-000147,13
ZR751,ACH-000097,14
BT-20,ACH-000536,15
BT-474,ACH-000927,16
CAL-120,ACH-000212,17
CAL-148,ACH-000902,18
CAL-51,ACH-000856,19
CAMA-1,ACH-000783,20
DU4475,ACH-000258,21
HCC1143,ACH-000374,22
HCC1187,ACH-000111,23
HCC1395,ACH-000699,24
HCC1419,ACH-000277,25
HCC1428,ACH-000352,26
HCC1500,ACH-000349,27
HCC1569,ACH-000930,28
HCC1806,ACH-000624,29
HCC1937,ACH-000223,30
HCC1954,ACH-000859,31
HCC38,ACH-000276,32
HCC70,ACH-000668,33
MDA-MB-157,ACH-000621,34
MDA-MB-175-VII,ACH-000759,35
MDA-MB-361,ACH-000934,36
MDA-MB-415,ACH-000876,37
MDA-MB-453,ACH-000910,38
MFM-223,ACH-001819,39
SK-BR-3,ACH-000017,40
SUM149PT,ACH-001390,41
SUM52PE,ACH-001396,42
UACC-812,ACH-000568,43
K-562,ACH-000551,44
RPMI-8226,ACH-000817,45
HDLM-2,ACH-000267,46
L-1236,ACH-000702,47
L-428,ACH-000754,48
U-HO1,ACH-001685,49
KMS-11,ACH-000714,50
A498,ACH-000555,51
ACHN,ACH-000046,52
CAKI-1,ACH-000433,53
UO-31,ACH-000428,54
HCT116,ACH-000971,55
HCT-15,ACH-000997,56
HT29,ACH-000552,57
KM12,ACH-000969,58
RKO,ACH-000943,59
SW-620,ACH-000651,60
SW837,ACH-000421,61
LS513,ACH-000007,62
NCI-H747,ACH-000403,63
SW403,ACH-000820,64
SW48,ACH-000958,65
SW948,ACH-000680,66
C75,ACH-001458,67
Huh-7,ACH-000480,68
A549,ACH-000681,69
EKVX,ACH-000706,70
HOP-62,ACH-000861,71
HOP-92,ACH-000825,72
NCI-H226,ACH-000367,73
NCIH23,ACH-000900,74
NCI-H460,ACH-000463,75
NCIH520,ACH-000395,76
NCI-H522,ACH-000343,77
Calu-3,ACH-000392,78
Calu-6,ACH-000264,79
DMS 114,ACH-000530,80
NCI-H1299,ACH-000510,81
NCI-H1437,ACH-000589,82
NCI-H1563,ACH-000892,83
NCI-H1703,ACH-000747,84
NCI-H1793,ACH-000888,85
NCI-H1975,ACH-000587,86
NCI-H2085,ACH-000451,87
NCI-H2126,ACH-000785,88
NCI-H2170,ACH-000481,89
NCI-H2228,ACH-000447,90
NCI-H2291,ACH-000718,91
NCI-H3122,ACH-000337,92
NCI-H322,ACH-000837,93
NCI-H358,ACH-000860,94
NCI-H838,ACH-000416,95
SW900,ACH-000669,96
PC-9,ACH-000779,97
IGROV1,ACH-000966,98
OVCAR-4,ACH-000617,99
OVCAR-5,ACH-001151,100
OVCAR-8,ACH-000696,101
SK-OV-3,ACH-000811,102
DU-145,ACH-000979,103
PC-3,ACH-000090,104
VCAP,ACH-000115,105
A2058,ACH-000788,106
A375,ACH-000219,107
LOX IMVI,ACH-000750,108
MALME-3M,ACH-000477,109
RPMI7951,ACH-000348,110
SK-MEL-2,ACH-001190,111
SK-MEL-28,ACH-000615,112
SKMEL30,ACH-000810,113
SK-MEL-5,ACH-000730,114
UACC-257,ACH-000579,115
UACC62,ACH-000425,116
A101D,ACH-000008,117
Calu-1,ACH-000511,118
COLO 741,ACH-000582,119
COLO 792,ACH-000968,120
COLO 800,ACH-000401,121
COLO 829,ACH-000644,122
G-361,ACH-000572,123
IPC-298,ACH-000915,124
Mel Ho,ACH-000450,125
MeWo,ACH-000987,126
RVH-421,ACH-000614,127
WM115,ACH-000304,128
RD,ACH-000169,129
SMS-CTR,ACH-001196,130
KATO III,ACH-000793,131
SNU-16,ACH-000581,132
647V,ACH-000896,133
BFTC-905,ACH-000802,134
HT-1197,ACH-000547,135
HT-1376,ACH-000724,136
J82,ACH-000396,137
JMSU-1,ACH-000753,138
KU-19-19,ACH-000486,139
RT-112,ACH-000473,140
RT-4,ACH-000242,141
SW780,ACH-000384,142
T24,ACH-000018,143
TCCSUP,ACH-000720,144
UM-UC-3,ACH-000522,145
VM-CUB-1,ACH-000545,146
22Rv1,ACH-000956,147
A2780,ACH-000657,148
A427,ACH-000757,149
AGS,ACH-000880,150
CAOV3,ACH-000713,151
DLD1,ACH-001061,152
ES2,ACH-000906,153
EW-8,ACH-000499,154
HT144,ACH-000322,155
LOVO,ACH-000950,156
NCIH1650,ACH-000035,157
NCIH2122,ACH-000311,158
OV90,ACH-000291,159
PA1,ACH-001374,160
PANC-1,ACH-000164,161
Rh36,ACH-001751,162
SKMES1,ACH-000665,163
TC-71,ACH-000424,164
UWB1289,ACH-001418,165
U251,SIDM00111,166
SR,SIDM00096,167
786-0,SIDM00125,168
MZ-MEL-2,SIDM00179,169
MZ-MEL-7,SIDM00516,170
Evsa-T,SIDM01042,171
CCRF-CEM,SIDM00121,172
MOLT-4,SIDM00145,173
RXF 393,SIDM00086,174
SN12C,SIDM00094,175
TK-10,SIDM00113,176
COLO 205,SIDM00826,177
HCC-2998,SIDM00118,178
NCI-H322M,SIDM00117,179
M14,SIDM00003,180
451Lu,SIDM01240,181
IST-MEL1,SIDM00225,182
LB2518-MEL,SIDM00185,183
MMAc-SF,SIDM01242,184
OCUBM,SIDM00241,185
OVCAR3,ACH-000001,186
